statement,label,hidden_prob,fusion_prob,hidden_pred,fusion_pred,case_type
Abu Dhabi is a name of a country.,0,0.5397246129915565,0.5630395393718858,1,1,hidden_wrong_fusion_wrong
Alphabet operates in the industry of Oil & Gas Operations.,0,0.0002827332706828769,0.0002827332706828769,0,0,hidden_correct_fusion_correct
"Chubb engages in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products..",0,0.012005315116600936,0.012005315116600936,0,0,hidden_correct_fusion_correct
Alexander Graham Bell lived in Germany.,0,1.218815752238305e-08,1.218815752238305e-08,0,0,hidden_correct_fusion_correct
Sofía is a Spanish feminine given name.,1,0.999907853466026,0.999907853466026,1,1,hidden_correct_fusion_correct
The shark has multiple rows of teeth that are continuously replaced throughout its life.,1,0.6407801280006836,0.5034676160685507,1,1,hidden_correct_fusion_correct
"The water cycle excludes evaporation, condensation, precipitation, and runoff.",0,8.465725269279009e-05,8.465725269279009e-05,0,0,hidden_correct_fusion_correct
Merck & Co. has headquarters in Germany.,0,0.9811488653072337,0.9811488653072337,1,1,hidden_wrong_fusion_wrong
Reliance Industries provides banking and financial services to individuals and institutions..,0,1.689705456192439e-05,1.689705456192439e-05,0,0,hidden_correct_fusion_correct
Malaysia is a name of a city.,0,1.6299480831222133e-05,1.6299480831222133e-05,0,0,hidden_correct_fusion_correct
The atomic number of an element represents the number of protons in its nucleus.,1,0.9999990827547618,0.9999990827547618,1,1,hidden_correct_fusion_correct
The planet Mercury is the closest planet to the sun in our solar system.,1,0.9999999998482876,0.9999999998482876,1,1,hidden_correct_fusion_correct
Tunis is a city in Tunisia,1,0.9999999997885101,0.9999999997885101,1,1,hidden_correct_fusion_correct
Serbia is a country.,1,0.9853743339210853,0.9853743339210853,1,1,hidden_correct_fusion_correct
"Human uses for octopus include tourism, research, conservation.",0,0.20812649444412598,0.20812649444412598,0,0,hidden_correct_fusion_correct
The horse uses swimming for locomotion.,0,3.8774416670557315e-05,3.8774416670557315e-05,0,0,hidden_correct_fusion_correct
The slug is a mollusk.,1,0.9999443020965819,0.9999443020965819,1,1,hidden_correct_fusion_correct
Bandaran Seri Berjaya is a famous hotel in Bandar Berjaja.,0,7.944417502810214e-05,7.944417502810214e-05,0,0,hidden_correct_fusion_correct
Prague is a name of a country.,0,0.00019329575503161808,0.00019329575503161808,0,0,hidden_correct_fusion_correct
Hyundai Motor operates in the industry of consumer durables.,1,0.9999995745139257,0.9999995745139257,1,1,hidden_correct_fusion_correct
The lobster has a diet of omnivore.,1,0.8641760682395396,0.8641760682395396,1,1,hidden_correct_fusion_correct
Ytterbium appears in its standard state as Gas.,0,0.6463172814115566,0.5450058996360128,1,1,hidden_wrong_fusion_wrong
Praseodymium has the symbol Pr.,1,0.9954732533022151,0.9954732533022151,1,1,hidden_correct_fusion_correct
The Earth has one moon.,1,3.259091118938132e-05,3.259091118938132e-05,0,0,hidden_wrong_fusion_wrong
Hans Oersted invented the electromagnetism discovery.,1,0.2658768866983227,0.2658768866983227,0,0,hidden_wrong_fusion_wrong
The giraffe has a diet of carnivore.,0,0.07228776327467784,0.07228776327467784,0,0,hidden_correct_fusion_correct
UBS Group has headquarters in Switzerland.,1,0.9995418363551002,0.9995418363551002,1,1,hidden_correct_fusion_correct
"The four fundamental forces of nature are strawberry jam, moonlit sonatas, unicorn whispers, and dragonfly dreams.",0,1.2324536059315978e-06,1.2324536059315978e-06,0,0,hidden_correct_fusion_correct
Kathmandu is a city in Thailand,0,1.124193648060812e-17,1.124193648060812e-17,0,0,hidden_correct_fusion_correct
Lanthanum is used to galvanize steel and is an essential trace element in living organisms.,0,0.08711437542461949,0.08711437542461949,0,0,hidden_correct_fusion_correct
Seasons are caused by Earth's constant alignment.,0,3.1337623684721413e-07,3.1337623684721413e-07,0,0,hidden_correct_fusion_correct
Industrial Bank has headquarters in United States.,0,0.2041660211008551,0.2041660211008551,0,0,hidden_correct_fusion_correct
Yaoundé is a name of a city.,1,0.9988226075746186,0.9988226075746186,1,1,hidden_correct_fusion_correct
Sodium has the atomic number of 24.,0,0.19427728530734736,0.19427728530734736,0,0,hidden_correct_fusion_correct
Managua is a city in Armenia,0,9.553438523709109e-21,9.553438523709109e-21,0,0,hidden_correct_fusion_correct
Equinor operates in the industry of Capital Goods.,0,3.0457444194739706e-06,3.0457444194739706e-06,0,0,hidden_correct_fusion_correct
"The seahorse has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",1,0.836296042550286,0.836296042550286,1,1,hidden_correct_fusion_correct
Tanzania is a name of a country.,1,0.9989907975297484,0.9989907975297484,1,1,hidden_correct_fusion_correct
Radium has the atomic number of 88.,1,0.0343077079956337,0.0343077079956337,0,0,hidden_wrong_fusion_wrong
Humans have wings and can fly.,0,0.054232222926308395,0.054232222926308395,0,0,hidden_correct_fusion_correct
Gold appears in its standard state as Gas.,0,1.3184906578564747e-06,1.3184906578564747e-06,0,0,hidden_correct_fusion_correct
The sea turtle has a diet of carnivore.,0,0.08491391520530049,0.08491391520530049,0,0,hidden_correct_fusion_correct
Budapest is a city in Hungary,1,0.9999939708175006,0.9999939708175006,1,1,hidden_correct_fusion_correct
Carl Elsener lived in Switzerland.,1,0.05114566231991709,0.05114566231991709,0,0,hidden_wrong_fusion_wrong
Lusaka is a city in Zambia,1,0.9999968840389112,0.9999968840389112,1,1,hidden_correct_fusion_correct
The armadillo uses swimming for locomotion.,0,0.008452195813196804,0.008452195813196804,0,0,hidden_correct_fusion_correct
Croatia is a name of a city.,0,2.2008910467697872e-06,2.2008910467697872e-06,0,0,hidden_correct_fusion_correct
"Human uses for giraffe include tourism, zoos.",1,0.9182499733211934,0.9182499733211934,1,1,hidden_correct_fusion_correct
Black holes are regions in space with weak gravitational pull.,0,9.16948578787891e-06,9.16948578787891e-06,0,0,hidden_correct_fusion_correct
Sir Charles Parsons lived in U.S.,0,0.0008366755444553608,0.0008366755444553608,0,0,hidden_correct_fusion_correct
"Mitsubishi UFJ Financial Group operates as a holding company, which provides financial services through its subsidiaries..",1,0.1598949621405036,0.1598949621405036,0,0,hidden_wrong_fusion_wrong
Willemstad is a name of a country.,0,1.7098897273072707e-05,1.7098897273072707e-05,0,0,hidden_correct_fusion_correct
Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1,0.9999853254971074,0.9999853254971074,1,1,hidden_correct_fusion_correct
Walt Disney has headquarters in Germany.,0,5.262936173490903e-08,5.262936173490903e-08,0,0,hidden_correct_fusion_correct
George Town is a name of a city.,1,0.9987868418396165,0.9987868418396165,1,1,hidden_correct_fusion_correct
Zagreb is a name of a country.,0,1.6288790293130668e-05,1.6288790293130668e-05,0,0,hidden_correct_fusion_correct
Tehran is a city in Iran,1,1.0,1.0,1,1,hidden_correct_fusion_correct
"America Movil is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services..",0,0.03601157105869723,0.03601157105869723,0,0,hidden_correct_fusion_correct
"Reliance Industries engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and telecommunications..",1,0.7915460373697604,0.7915460373697604,1,1,hidden_correct_fusion_correct
Hungary is a name of a city.,0,1.892293527590883e-05,1.892293527590883e-05,0,0,hidden_correct_fusion_correct
Akrotiri and Dhekelia is a name of a country.,1,0.00016582793031601938,0.00016582793031601938,0,0,hidden_wrong_fusion_wrong
"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries..",0,0.9211011232037396,0.9211011232037396,1,1,hidden_wrong_fusion_wrong
"Ford Motor engages in the exploration, production, transport, refining, and marketing of petroleum and petroleum-derived products..",0,0.00036288567044767645,0.00036288567044767645,0,0,hidden_correct_fusion_correct
The mongoose has the atomic number of bird.,0,5.413144595424962e-06,5.413144595424962e-06,0,0,hidden_correct_fusion_correct
Cisco Systems operates in the industry of technology hardware & equipment.,1,0.9954639584377546,0.9954639584377546,1,1,hidden_correct_fusion_correct
Carbon has the symbol C.,1,0.9998683579995278,0.9998683579995278,1,1,hidden_correct_fusion_correct
"St.Pierre is a city in the Canadian province of Québec, located in Montérégie.",0,0.9843231809907771,0.9843231809907771,1,1,hidden_wrong_fusion_wrong
Toyota Motor has headquarters in Japan.,1,0.9997352614768464,0.9997352614768464,1,1,hidden_correct_fusion_correct
Oman is a name of a country.,1,0.998472731517607,0.998472731517607,1,1,hidden_correct_fusion_correct
"Palikir is located in the province of South Sulawesi, Indonesia.",0,5.058242207840037e-07,5.058242207840037e-07,0,0,hidden_correct_fusion_correct
"Human uses for llama include pets, transport, wool.",1,0.05409789134772846,0.05409789134772846,0,0,hidden_wrong_fusion_wrong
Polonium is a highly radioactive element used in some heaters for space probes.,1,0.9997627395811448,0.9997627395811448,1,1,hidden_correct_fusion_correct
Bromine is in the Halogen group.,1,0.9996134822003593,0.9996134822003593,1,1,hidden_correct_fusion_correct
Hydrogen has the atomic number of 1.,1,0.9666743731696165,0.9666743731696165,1,1,hidden_correct_fusion_correct
Mercury appears in its standard state as Liquid.,1,0.6645670640455612,0.6645670640455612,1,1,hidden_correct_fusion_correct
Polar bears have white fur to camouflage in their snowy environment.,1,0.8580225686299259,0.8580225686299259,1,1,hidden_correct_fusion_correct
Earth's temperature is what causes compasses to point east.,0,2.266588014932905e-08,2.266588014932905e-08,0,0,hidden_correct_fusion_correct
Barium is used in medical imaging and fireworks.,1,0.9999787854681547,0.9999787854681547,1,1,hidden_correct_fusion_correct
Percy Spencer lived in U.S.,1,0.9668614542855025,0.9668614542855025,1,1,hidden_correct_fusion_correct
Alec Jeffreys invented the DNA fingerprinting.,1,0.9689941628173587,0.9689941628173587,1,1,hidden_correct_fusion_correct
The crocodile has a powerful bite and can go without food for long periods of time.,1,0.9998768243210078,0.9998768243210078,1,1,hidden_correct_fusion_correct
Egypt is a name of a country.,1,0.9986471632737992,0.9986471632737992,1,1,hidden_correct_fusion_correct
"Intel engages in the design, manufacture and sale of computer products and technologies..",1,0.15799791240400535,0.15799791240400535,0,0,hidden_wrong_fusion_wrong
British American Tobacco has headquarters in India.,0,1.0771724593039237e-07,1.0771724593039237e-07,0,0,hidden_correct_fusion_correct
Florence Parpart invented the trackball.,0,0.9972859171561933,0.9972859171561933,1,1,hidden_wrong_fusion_wrong
Thomas Savery invented the early steam engine.,1,0.9982890805349175,0.9982890805349175,1,1,hidden_correct_fusion_correct
"The cassowary is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",1,0.8630048366833198,0.8630048366833198,1,1,hidden_correct_fusion_correct
Agricultural Bank of China engages in the provision of international commercial banking and financial services..,1,0.033025937273084637,0.033025937273084637,0,0,hidden_wrong_fusion_wrong
Hon Hai Precision has headquarters in Taiwan.,1,0.9907457451911116,0.9907457451911116,1,1,hidden_correct_fusion_correct
Gadolinium appears in its standard state as Gas.,0,0.013543181574811335,0.013543181574811335,0,0,hidden_correct_fusion_correct
Tirana is a city in Albania,1,0.9999999999935518,0.9999999999935518,1,1,hidden_correct_fusion_correct
Merck & Co. operates in the industry of Telecommunications Services.,0,0.0010152863621142754,0.0010152863621142754,0,0,hidden_correct_fusion_correct
Dolphins use echolocation to navigate.,1,0.9999999726797609,0.9999999726797609,1,1,hidden_correct_fusion_correct
The narwhal has a diet of herbivore.,0,0.011493295565064458,0.011493295565064458,0,0,hidden_correct_fusion_correct
"The skunk has a pouch for carrying and nursing its young, called joeys.",0,0.8323888109116875,0.8323888109116875,1,1,hidden_wrong_fusion_wrong
Molybdenum appears in its standard state as Solid.,1,0.9994245982820251,0.9994245982820251,1,1,hidden_correct_fusion_correct
Malé is a city in Djibouti,0,0.9998813399875491,0.9998813399875491,1,1,hidden_wrong_fusion_wrong
The rhinoceros has a habitat of marine.,0,2.962203018012112e-08,2.962203018012112e-08,0,0,hidden_correct_fusion_correct
Phosphorus appears in its standard state as Gas.,0,0.0009722281729509865,0.0009722281729509865,0,0,hidden_correct_fusion_correct
Novartis operates in the industry of drugs & biotechnology.,1,0.9999992687186458,0.9999992687186458,1,1,hidden_correct_fusion_correct
Chisinau is a name of a city.,1,0.8814398497338928,0.8814398497338928,1,1,hidden_correct_fusion_correct
Beryllium has the symbol As.,0,5.121577878992084e-07,5.121577878992084e-07,0,0,hidden_correct_fusion_correct
"Saudi Arabian Oil Company (Saudi Aramco) engages in the exploration, production, transportation, and sale of crude oil and natural gas..",1,0.05780301257624791,0.05780301257624791,0,0,hidden_wrong_fusion_wrong
Astana is a city in Canada,0,9.384903444350802e-21,9.384903444350802e-21,0,0,hidden_correct_fusion_correct
Baku is a city in Paraguay,0,1.0066747299797782e-25,1.0066747299797782e-25,0,0,hidden_correct_fusion_correct
Kosovo is a name of a country.,1,0.9998457564758848,0.9998457564758848,1,1,hidden_correct_fusion_correct
The Hubble Space Telescope has provided no information about distant celestial objects.,0,4.524690146772113e-06,4.524690146772113e-06,0,0,hidden_correct_fusion_correct
Candace Pert invented the electric wheelchair.,0,1.060523368501842e-05,1.060523368501842e-05,0,0,hidden_correct_fusion_correct
Rabat is a name of a country.,0,0.0014700671287558196,0.0014700671287558196,0,0,hidden_correct_fusion_correct
Afghanistan is a name of a country.,1,0.9996690483086004,0.9996690483086004,1,1,hidden_correct_fusion_correct
Leonardo da Vinci invented the discovery of radium and polonium.,0,0.004095658644425847,0.004095658644425847,0,0,hidden_correct_fusion_correct
Dominica is a name of a city.,0,2.574900553761172e-05,2.574900553761172e-05,0,0,hidden_correct_fusion_correct
London is a name of a country.,0,3.117769330391102e-05,3.117769330391102e-05,0,0,hidden_correct_fusion_correct
The fastest animal in the world is the pig.,0,4.0127602404876664e-05,4.0127602404876664e-05,0,0,hidden_correct_fusion_correct
Lithium has the atomic number of 56.,0,0.5353660568626076,0.43035002840921804,1,0,hidden_wrong_fusion_correct
Andorra la Vella is a name of a country.,0,0.4709458469687724,0.4456203302751665,0,0,hidden_correct_fusion_correct
Superconductors are materials that have no electrical resistance when cooled to certain temperatures.,1,0.9999872080417723,0.9999872080417723,1,1,hidden_correct_fusion_correct
Sana'a is a city in Somaliland,0,2.0389874054321092e-08,2.0389874054321092e-08,0,0,hidden_correct_fusion_correct
Honeywell operates in the industry of IT Software & Services.,0,0.0008648432208614484,0.0008648432208614484,0,0,hidden_correct_fusion_correct
Target operates in the industry of retailing.,1,0.9093133255435861,0.9093133255435861,1,1,hidden_correct_fusion_correct
Santander has headquarters in United States.,0,0.02936436999571791,0.02936436999571791,0,0,hidden_correct_fusion_correct
North Korea is a name of a city.,0,2.739015861283736e-06,2.739015861283736e-06,0,0,hidden_correct_fusion_correct
Silicon is the second most abundant element in Earth's crust and is used in computer chips.,1,0.9999995252685021,0.9999995252685021,1,1,hidden_correct_fusion_correct
Allianz operates in the industry of insurance.,1,0.999999996003647,0.999999996003647,1,1,hidden_correct_fusion_correct
"Commonwealth Bank of Australia is a nonalcoholic beverage company that engages in the manufacture, market, and sale of non-alcoholic beverages, including sparkling soft drinks, water, sports drinks, tea, coffee and energy drinks..",0,0.2397631678103634,0.2397631678103634,0,0,hidden_correct_fusion_correct
Francium has the symbol Fr.,1,0.021510288944719527,0.021510288944719527,0,0,hidden_wrong_fusion_wrong
Kiev is a city in Ukraine,1,0.9999999999354423,0.9999999999354423,1,1,hidden_correct_fusion_correct
The planet Pluto has five known moons.,1,0.017749047030884754,0.017749047030884754,0,0,hidden_wrong_fusion_wrong
"Intel is a holding company, which engages in steelmaking and mining activities..",0,0.00032966905021670893,0.00032966905021670893,0,0,hidden_correct_fusion_correct
Sir Sandford Fleming invented the integrated circuit.,0,0.055296482081219955,0.055296482081219955,0,0,hidden_correct_fusion_correct
"Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services..",0,0.7077003051693738,0.7077003051693738,1,1,hidden_wrong_fusion_wrong
France is a name of a city.,0,3.43915518048057e-07,3.43915518048057e-07,0,0,hidden_correct_fusion_correct
Singapore is a city in Equatorial Guinea,0,4.7879441556247983e-20,4.7879441556247983e-20,0,0,hidden_correct_fusion_correct
Manulife has headquarters in Canada.,1,0.9991913395077461,0.9991913395077461,1,1,hidden_correct_fusion_correct
Cape Verde is a name of a city.,0,2.0778179686236115e-05,2.0778179686236115e-05,0,0,hidden_correct_fusion_correct
Polar bears have black fur to stand out in their snowy environment.,0,0.9916198348188803,0.9916198348188803,1,1,hidden_wrong_fusion_wrong
There are no stars in the night sky.,0,3.5875834909437354e-05,3.5875834909437354e-05,0,0,hidden_correct_fusion_correct
Russia is a name of a country.,1,0.999634464172827,0.999634464172827,1,1,hidden_correct_fusion_correct
Ottawa held the 2015 Pan Am/Parapan Am games.,0,0.07791426421079638,0.07791426421079638,0,0,hidden_correct_fusion_correct
Percy Spencer invented the microwave oven.,1,0.0879277601404641,0.0879277601404641,0,0,hidden_wrong_fusion_wrong
Argon is a noble gas used as an inert atmosphere in welding and other applications.,1,0.9945807718703498,0.9945807718703498,1,1,hidden_correct_fusion_correct
Elihu Thomson invented the arc welding.,1,0.0004488693337443556,0.0004488693337443556,0,0,hidden_wrong_fusion_wrong
"Alphabet engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals..",0,0.827041047976331,0.827041047976331,1,1,hidden_wrong_fusion_wrong
Ada Lovelace lived in U.K.,1,0.98346840917661,0.98346840917661,1,1,hidden_correct_fusion_correct
Platinum is in the Transition metal group.,1,0.9229376596697833,0.9229376596697833,1,1,hidden_correct_fusion_correct
The squirrel has a habitat of forest/urban.,1,0.9321201000356307,0.9321201000356307,1,1,hidden_correct_fusion_correct
The lion is a mammal.,1,0.9999999122500326,0.9999999122500326,1,1,hidden_correct_fusion_correct
China Vanke has headquarters in China.,1,0.9998222366543991,0.9998222366543991,1,1,hidden_correct_fusion_correct
The gorilla has the atomic number of amphibian.,0,0.0015005464176314194,0.0015005464176314194,0,0,hidden_correct_fusion_correct
The chimpanzee is a mammal.,1,0.9999999979723853,0.9999999979723853,1,1,hidden_correct_fusion_correct
Walt Disney engages in the manufacture and sale of automobiles and motorcycles..,0,2.6465925853773982e-08,2.6465925853773982e-08,0,0,hidden_correct_fusion_correct
Arthur Fry lived in U.S.,1,0.997881059058067,0.997881059058067,1,1,hidden_correct_fusion_correct
LukOil has headquarters in Russia.,1,0.4125820063990995,0.5437201213784146,0,1,hidden_wrong_fusion_correct
Curaçao is a name of a country.,1,0.9882783399881017,0.9882783399881017,1,1,hidden_correct_fusion_correct
Eli Whitney invented the electric wheelchair.,0,1.3668457007003589e-05,1.3668457007003589e-05,0,0,hidden_correct_fusion_correct
CVS Health operates in the industry of Banking.,0,5.6825299360275984e-06,5.6825299360275984e-06,0,0,hidden_correct_fusion_correct
Tiraspol is a name of a country.,0,2.8483251672259518e-05,2.8483251672259518e-05,0,0,hidden_correct_fusion_correct
Willem Einthoven invented the electrocardiograph (ECG).,1,0.7531202701651467,0.7531202701651467,1,1,hidden_correct_fusion_correct
Wellington is a name of a country.,0,0.0005648774052363432,0.0005648774052363432,0,0,hidden_correct_fusion_correct
Birds are not animals.,0,6.330032473123696e-13,6.330032473123696e-13,0,0,hidden_correct_fusion_correct
Itochu engages in oil and natural gas production..,0,0.5764268614816784,0.6672188712339803,1,1,hidden_wrong_fusion_wrong
Addis Ababa is a city in Ethiopia,1,0.9999999999737288,0.9999999999737288,1,1,hidden_correct_fusion_correct
Lima does not experience an average snowfall.,1,1.1283428080718792e-05,1.1283428080718792e-05,0,0,hidden_wrong_fusion_wrong
Migration allows animals to find better resources.,1,8.684446010577059e-10,8.684446010577059e-10,0,0,hidden_wrong_fusion_wrong
Tungsten is in the Actinide group.,0,0.12033694884724434,0.12033694884724434,0,0,hidden_correct_fusion_correct
Port-au-Prince is a city in Haiti,1,0.9976872128816145,0.9976872128816145,1,1,hidden_correct_fusion_correct
Cadmium is in the Transition metal group.,1,0.019038555875801014,0.019038555875801014,0,0,hidden_wrong_fusion_wrong
Mars has a thick atmosphere.,0,0.9999969392836747,0.9999969392836747,1,1,hidden_wrong_fusion_wrong
Cadmium appears in its standard state as Solid.,1,0.8793763219258379,0.8793763219258379,1,1,hidden_correct_fusion_correct
Tencent Holdings has headquarters in United Kingdom.,0,5.111046954173268e-06,5.111046954173268e-06,0,0,hidden_correct_fusion_correct
Vale operates in the industry of materials.,1,0.9999256623828323,0.9999256623828323,1,1,hidden_correct_fusion_correct
Stephanie Kwolek lived in U.S.,1,0.9987008135245427,0.9987008135245427,1,1,hidden_correct_fusion_correct
A large number of Eritreans live in AsmarA.,1,1.0599148619536794e-05,1.0599148619536794e-05,0,0,hidden_wrong_fusion_wrong
Ulan Bator is a name of a city.,1,0.9993216269293587,0.9993216269293587,1,1,hidden_correct_fusion_correct
The Nile River is located in South America.,0,1.6777698903122846e-06,1.6777698903122846e-06,0,0,hidden_correct_fusion_correct
Cai Lun invented the papermaking process.,1,0.0008656498781635027,0.0008656498781635027,0,0,hidden_wrong_fusion_wrong
Hanoi is a name of a city.,1,0.9978168231660647,0.9978168231660647,1,1,hidden_correct_fusion_correct
Ecosystems consist of living organisms and their physical environment.,1,0.9999999997970443,0.9999999997970443,1,1,hidden_correct_fusion_correct
The hyena has the atomic number of bird.,0,1.9086330056165797e-07,1.9086330056165797e-07,0,0,hidden_correct_fusion_correct
ING Group operates in the industry of diversified financials.,1,0.9999867249639766,0.9999867249639766,1,1,hidden_correct_fusion_correct
The human body has bones.,1,0.999999999998417,0.999999999998417,1,1,hidden_correct_fusion_correct
Bank of China operates in the industry of banking.,1,0.978918709858838,0.978918709858838,1,1,hidden_correct_fusion_correct
Samuel Morse invented the Morse code.,1,0.999999828340968,0.999999828340968,1,1,hidden_correct_fusion_correct
The narwhal has a diet of carnivore.,1,0.0003857352591391833,0.0003857352591391833,0,0,hidden_wrong_fusion_wrong
The pigeon has the atomic number of mammal.,0,0.00777349292285525,0.00777349292285525,0,0,hidden_correct_fusion_correct
Phosphorus is used in catalytic converters and hydrogen storage.,0,0.48876505122647756,0.3900820465692053,0,0,hidden_correct_fusion_correct
"Microsoft engages in the development and support of software, services, devices, and solutions..",1,0.9995910337270891,0.9995910337270891,1,1,hidden_correct_fusion_correct
Ferdinand Carré lived in France.,1,0.9961735957153353,0.9961735957153353,1,1,hidden_correct_fusion_correct
"Human uses for cow include meat, dairy products.",1,0.9941644991921131,0.9941644991921131,1,1,hidden_correct_fusion_correct
British American Tobacco operates in the industry of Banking.,0,1.3129019995363376e-05,1.3129019995363376e-05,0,0,hidden_correct_fusion_correct
Neptunium appears in its standard state as Gas.,0,0.00019196100906280822,0.00019196100906280822,0,0,hidden_correct_fusion_correct
Monrovia is a city in Namibia,0,3.4939548076629842e-12,3.4939548076629842e-12,0,0,hidden_correct_fusion_correct
The study of the Earth's core beyond Earth's atmosphere is called geoastronomy.,0,0.8941985819093358,0.8941985819093358,1,1,hidden_wrong_fusion_wrong
China Citic Bank operates in the industry of Banking.,0,3.0909990144872476e-05,3.0909990144872476e-05,0,0,hidden_correct_fusion_correct
Chromium appears in its standard state as Solid.,1,0.005731235467796129,0.005731235467796129,0,0,hidden_wrong_fusion_wrong
Edwin Link lived in U.K.,0,0.9658814549644903,0.9658814549644903,1,1,hidden_wrong_fusion_wrong
Ireland is a name of a city.,0,0.0004366284987660675,0.0004366284987660675,0,0,hidden_correct_fusion_correct
The vulture uses jumping for locomotion.,0,0.03531917332426434,0.03531917332426434,0,0,hidden_correct_fusion_correct
Venus has a thick atmosphere.,1,0.9997849899729639,0.9997849899729639,1,1,hidden_correct_fusion_correct
Enel has headquarters in Rome.,1,0.9992999105840445,0.9992999105840445,1,1,hidden_correct_fusion_correct
Sir Humphry Davy invented the light bulb.,0,0.9824256643497661,0.9824256643497661,1,1,hidden_wrong_fusion_wrong
Oman is a name of a city.,0,3.2460744670366235e-05,3.2460744670366235e-05,0,0,hidden_correct_fusion_correct
Ottawa contains many parks and green spaces.,1,0.9964308137380984,0.9964308137380984,1,1,hidden_correct_fusion_correct
"Human uses for ostrich include tourism, zoos, meat, feathers.",1,0.26483667419998347,0.26483667419998347,0,0,hidden_wrong_fusion_wrong
Medtronic operates in the industry of health care equipment & services.,1,0.9972489191361258,0.9972489191361258,1,1,hidden_correct_fusion_correct
The Coriolis effect prevents the movement of large-scale weather systems.,0,6.920292857856309e-07,6.920292857856309e-07,0,0,hidden_correct_fusion_correct
Alibaba Group operates in the industry of retailing.,1,0.9993238106566269,0.9993238106566269,1,1,hidden_correct_fusion_correct
Iridium has the atomic number of 56.,0,0.9888907884715462,0.9888907884715462,1,1,hidden_wrong_fusion_wrong
Valletta is a city in Malta,1,1.0,1.0,1,1,hidden_correct_fusion_correct
"Human uses for bat include tourism, zoos.",0,0.0025829035938194473,0.0025829035938194473,0,0,hidden_correct_fusion_correct
Syria is a name of a country.,1,0.9999944022490418,0.9999944022490418,1,1,hidden_correct_fusion_correct
The Pacific Ocean is the smallest ocean in the world.,0,0.08258578232710664,0.08258578232710664,0,0,hidden_correct_fusion_correct
