statement,label,hidden_prob,hidden_pred,a6_prob,a6_pred,case_type
Croatia is a name of a city.,0,2.2008910467697872e-06,0,4.44793563129076e-07,0,hidden_correct_a6_correct
"Human uses for giraffe include tourism, zoos.",1,0.9182499733211934,1,0.9795325479866152,1,hidden_correct_a6_correct
Black holes are regions in space with weak gravitational pull.,0,9.16948578787891e-06,0,0.00031233122560450264,0,hidden_correct_a6_correct
Sir Charles Parsons lived in U.S.,0,0.0008366755444553608,0,0.00017328494969178182,0,hidden_correct_a6_correct
"Mitsubishi UFJ Financial Group operates as a holding company, which provides financial services through its subsidiaries..",1,0.1598949621405036,0,0.08108645926342771,0,hidden_wrong_a6_wrong
Willemstad is a name of a country.,0,1.7098897273072707e-05,0,2.227741946264853e-06,0,hidden_correct_a6_correct
Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1,0.9999853254971074,1,0.9999999439772655,1,hidden_correct_a6_correct
Walt Disney has headquarters in Germany.,0,5.262936173490903e-08,0,1.508081607975373e-08,0,hidden_correct_a6_correct
George Town is a name of a city.,1,0.9987868418396165,1,0.9994789845014945,1,hidden_correct_a6_correct
Zagreb is a name of a country.,0,1.6288790293130668e-05,0,9.963005322595184e-06,0,hidden_correct_a6_correct
Tehran is a city in Iran,1,1.0,1,0.9999999999999742,1,hidden_correct_a6_correct
"America Movil is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services..",0,0.03601157105869723,0,0.04657843162824243,0,hidden_correct_a6_correct
"Reliance Industries engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and telecommunications..",1,0.7915460373697604,1,0.9891136724413991,1,hidden_correct_a6_correct
Hungary is a name of a city.,0,1.892293527590883e-05,0,2.430869665510922e-05,0,hidden_correct_a6_correct
Akrotiri and Dhekelia is a name of a country.,1,0.00016582793031601938,0,2.6287575627078166e-05,0,hidden_wrong_a6_wrong
"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries..",0,0.9211011232037396,1,0.9816339365601935,1,hidden_wrong_a6_wrong
"Ford Motor engages in the exploration, production, transport, refining, and marketing of petroleum and petroleum-derived products..",0,0.00036288567044767645,0,0.00032259243257815105,0,hidden_correct_a6_correct
The mongoose has the atomic number of bird.,0,5.413144595424962e-06,0,2.787358807069974e-06,0,hidden_correct_a6_correct
Cisco Systems operates in the industry of technology hardware & equipment.,1,0.9954639584377546,1,0.993494059221368,1,hidden_correct_a6_correct
Carbon has the symbol C.,1,0.9998683579995278,1,0.999720793013333,1,hidden_correct_a6_correct
"St.Pierre is a city in the Canadian province of Québec, located in Montérégie.",0,0.9843231809907771,1,0.7847092126881047,1,hidden_wrong_a6_wrong
Toyota Motor has headquarters in Japan.,1,0.9997352614768464,1,0.9986191756286591,1,hidden_correct_a6_correct
Oman is a name of a country.,1,0.998472731517607,1,0.999521248734507,1,hidden_correct_a6_correct
"Palikir is located in the province of South Sulawesi, Indonesia.",0,5.058242207840037e-07,0,6.662551358208206e-08,0,hidden_correct_a6_correct
"Human uses for llama include pets, transport, wool.",1,0.05409789134772846,0,0.21240139605029862,0,hidden_wrong_a6_wrong
Polonium is a highly radioactive element used in some heaters for space probes.,1,0.9997627395811448,1,0.9999482014075993,1,hidden_correct_a6_correct
Bromine is in the Halogen group.,1,0.9996134822003593,1,0.9998465393336609,1,hidden_correct_a6_correct
Hydrogen has the atomic number of 1.,1,0.9666743731696165,1,0.9217459043379136,1,hidden_correct_a6_correct
Mercury appears in its standard state as Liquid.,1,0.6645670640455612,1,0.845166913439169,1,hidden_correct_a6_correct
Polar bears have white fur to camouflage in their snowy environment.,1,0.8580225686299259,1,0.839754186953323,1,hidden_correct_a6_correct
Earth's temperature is what causes compasses to point east.,0,2.266588014932905e-08,0,1.1034684728111175e-07,0,hidden_correct_a6_correct
Barium is used in medical imaging and fireworks.,1,0.9999787854681547,1,0.9999888314784208,1,hidden_correct_a6_correct
Percy Spencer lived in U.S.,1,0.9668614542855025,1,0.9515809536049937,1,hidden_correct_a6_correct
Alec Jeffreys invented the DNA fingerprinting.,1,0.9689941628173587,1,0.9817915724651013,1,hidden_correct_a6_correct
The crocodile has a powerful bite and can go without food for long periods of time.,1,0.9998768243210078,1,0.9997757275631106,1,hidden_correct_a6_correct
Egypt is a name of a country.,1,0.9986471632737992,1,0.9975405970776415,1,hidden_correct_a6_correct
"Intel engages in the design, manufacture and sale of computer products and technologies..",1,0.15799791240400535,0,0.36704345942402705,0,hidden_wrong_a6_wrong
British American Tobacco has headquarters in India.,0,1.0771724593039237e-07,0,8.010637069685105e-08,0,hidden_correct_a6_correct
Florence Parpart invented the trackball.,0,0.9972859171561933,1,0.9996683282223386,1,hidden_wrong_a6_wrong
Thomas Savery invented the early steam engine.,1,0.9982890805349175,1,0.9998220335039564,1,hidden_correct_a6_correct
"The cassowary is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",1,0.8630048366833198,1,0.9892931002381335,1,hidden_correct_a6_correct
Agricultural Bank of China engages in the provision of international commercial banking and financial services..,1,0.033025937273084637,0,0.03612610587695121,0,hidden_wrong_a6_wrong
Hon Hai Precision has headquarters in Taiwan.,1,0.9907457451911116,1,0.9996180230609248,1,hidden_correct_a6_correct
Gadolinium appears in its standard state as Gas.,0,0.013543181574811335,0,0.003005321314209557,0,hidden_correct_a6_correct
Tirana is a city in Albania,1,0.9999999999935518,1,0.9999999999886697,1,hidden_correct_a6_correct
Merck & Co. operates in the industry of Telecommunications Services.,0,0.0010152863621142754,0,0.00021682388362223275,0,hidden_correct_a6_correct
Dolphins use echolocation to navigate.,1,0.9999999726797609,1,0.9998998080241055,1,hidden_correct_a6_correct
The narwhal has a diet of herbivore.,0,0.011493295565064458,0,0.005721387996699853,0,hidden_correct_a6_correct
"The skunk has a pouch for carrying and nursing its young, called joeys.",0,0.8323888109116875,1,0.8924730281193063,1,hidden_wrong_a6_wrong
Molybdenum appears in its standard state as Solid.,1,0.9994245982820251,1,0.9990495037601673,1,hidden_correct_a6_correct
Malé is a city in Djibouti,0,0.9998813399875491,1,0.9404691534192379,1,hidden_wrong_a6_wrong
The rhinoceros has a habitat of marine.,0,2.962203018012112e-08,0,2.613097982264528e-08,0,hidden_correct_a6_correct
Phosphorus appears in its standard state as Gas.,0,0.0009722281729509865,0,0.0021314419228564887,0,hidden_correct_a6_correct
Novartis operates in the industry of drugs & biotechnology.,1,0.9999992687186458,1,0.9999950554853295,1,hidden_correct_a6_correct
Chisinau is a name of a city.,1,0.8814398497338928,1,0.9159913458014279,1,hidden_correct_a6_correct
Beryllium has the symbol As.,0,5.121577878992084e-07,0,4.241164158260134e-06,0,hidden_correct_a6_correct
"Saudi Arabian Oil Company (Saudi Aramco) engages in the exploration, production, transportation, and sale of crude oil and natural gas..",1,0.05780301257624791,0,0.05201751846494917,0,hidden_wrong_a6_wrong
Astana is a city in Canada,0,9.384903444350802e-21,0,1.228547865131596e-19,0,hidden_correct_a6_correct
Baku is a city in Paraguay,0,1.0066747299797782e-25,0,4.158390957271817e-25,0,hidden_correct_a6_correct
Kosovo is a name of a country.,1,0.9998457564758848,1,0.9999669874882314,1,hidden_correct_a6_correct
The Hubble Space Telescope has provided no information about distant celestial objects.,0,4.524690146772113e-06,0,0.0011697835568198432,0,hidden_correct_a6_correct
Candace Pert invented the electric wheelchair.,0,1.060523368501842e-05,0,2.3084218537474407e-06,0,hidden_correct_a6_correct
Rabat is a name of a country.,0,0.0014700671287558196,0,0.0002472057939705069,0,hidden_correct_a6_correct
Afghanistan is a name of a country.,1,0.9996690483086004,1,0.9998677251014435,1,hidden_correct_a6_correct
Leonardo da Vinci invented the discovery of radium and polonium.,0,0.004095658644425847,0,0.36870122386585874,0,hidden_correct_a6_correct
Dominica is a name of a city.,0,2.574900553761172e-05,0,7.527956813783445e-06,0,hidden_correct_a6_correct
London is a name of a country.,0,3.117769330391102e-05,0,4.664944276133295e-07,0,hidden_correct_a6_correct
The fastest animal in the world is the pig.,0,4.0127602404876664e-05,0,2.284371069136514e-05,0,hidden_correct_a6_correct
Lithium has the atomic number of 56.,0,0.5353660568626076,1,0.10371758742269895,0,hidden_wrong_a6_correct
Andorra la Vella is a name of a country.,0,0.4709458469687724,0,0.22868544003528982,0,hidden_correct_a6_correct
Superconductors are materials that have no electrical resistance when cooled to certain temperatures.,1,0.9999872080417723,1,0.9999997899080215,1,hidden_correct_a6_correct
Sana'a is a city in Somaliland,0,2.0389874054321092e-08,0,1.0882041942616906e-09,0,hidden_correct_a6_correct
Honeywell operates in the industry of IT Software & Services.,0,0.0008648432208614484,0,0.0008879233499470725,0,hidden_correct_a6_correct
Target operates in the industry of retailing.,1,0.9093133255435861,1,0.9122559251850184,1,hidden_correct_a6_correct
Santander has headquarters in United States.,0,0.02936436999571791,0,0.05324053346274901,0,hidden_correct_a6_correct
North Korea is a name of a city.,0,2.739015861283736e-06,0,9.93531329892271e-07,0,hidden_correct_a6_correct
Silicon is the second most abundant element in Earth's crust and is used in computer chips.,1,0.9999995252685021,1,0.9999993803822123,1,hidden_correct_a6_correct
Allianz operates in the industry of insurance.,1,0.999999996003647,1,0.9999999997360789,1,hidden_correct_a6_correct
"Commonwealth Bank of Australia is a nonalcoholic beverage company that engages in the manufacture, market, and sale of non-alcoholic beverages, including sparkling soft drinks, water, sports drinks, tea, coffee and energy drinks..",0,0.2397631678103634,0,0.057961631435038394,0,hidden_correct_a6_correct
Francium has the symbol Fr.,1,0.021510288944719527,0,0.013720786824327398,0,hidden_wrong_a6_wrong
Kiev is a city in Ukraine,1,0.9999999999354423,1,0.9999999996615045,1,hidden_correct_a6_correct
The planet Pluto has five known moons.,1,0.017749047030884754,0,0.003406437922103091,0,hidden_wrong_a6_wrong
"Intel is a holding company, which engages in steelmaking and mining activities..",0,0.00032966905021670893,0,5.262292719138193e-06,0,hidden_correct_a6_correct
Sir Sandford Fleming invented the integrated circuit.,0,0.055296482081219955,0,0.31208134845052027,0,hidden_correct_a6_correct
"Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services..",0,0.7077003051693738,1,0.7581302327674576,1,hidden_wrong_a6_wrong
France is a name of a city.,0,3.43915518048057e-07,0,5.550648959681063e-08,0,hidden_correct_a6_correct
Singapore is a city in Equatorial Guinea,0,4.7879441556247983e-20,0,1.9663612849564963e-24,0,hidden_correct_a6_correct
Manulife has headquarters in Canada.,1,0.9991913395077461,1,0.9998130803721365,1,hidden_correct_a6_correct
Cape Verde is a name of a city.,0,2.0778179686236115e-05,0,8.924918473161241e-06,0,hidden_correct_a6_correct
Polar bears have black fur to stand out in their snowy environment.,0,0.9916198348188803,1,0.9712575277182087,1,hidden_wrong_a6_wrong
There are no stars in the night sky.,0,3.5875834909437354e-05,0,3.618965271935838e-05,0,hidden_correct_a6_correct
Russia is a name of a country.,1,0.999634464172827,1,0.9992772765653906,1,hidden_correct_a6_correct
Ottawa held the 2015 Pan Am/Parapan Am games.,0,0.07791426421079638,0,0.651671361821337,1,hidden_correct_a6_wrong
Percy Spencer invented the microwave oven.,1,0.0879277601404641,0,0.08799348874670097,0,hidden_wrong_a6_wrong
Argon is a noble gas used as an inert atmosphere in welding and other applications.,1,0.9945807718703498,1,0.9988222699342799,1,hidden_correct_a6_correct
Elihu Thomson invented the arc welding.,1,0.0004488693337443556,0,0.0008306774102329802,0,hidden_wrong_a6_wrong
"Alphabet engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals..",0,0.827041047976331,1,0.5861325373835737,1,hidden_wrong_a6_wrong
Ada Lovelace lived in U.K.,1,0.98346840917661,1,0.9788647524245805,1,hidden_correct_a6_correct
Platinum is in the Transition metal group.,1,0.9229376596697833,1,0.9837030679785193,1,hidden_correct_a6_correct
The squirrel has a habitat of forest/urban.,1,0.9321201000356307,1,0.8694340134920275,1,hidden_correct_a6_correct
The lion is a mammal.,1,0.9999999122500326,1,0.9999999924013926,1,hidden_correct_a6_correct
China Vanke has headquarters in China.,1,0.9998222366543991,1,0.9999928063230726,1,hidden_correct_a6_correct
The gorilla has the atomic number of amphibian.,0,0.0015005464176314194,0,0.0020987684178303324,0,hidden_correct_a6_correct
The chimpanzee is a mammal.,1,0.9999999979723853,1,0.999999999863352,1,hidden_correct_a6_correct
Walt Disney engages in the manufacture and sale of automobiles and motorcycles..,0,2.6465925853773982e-08,0,7.52310244066703e-07,0,hidden_correct_a6_correct
Arthur Fry lived in U.S.,1,0.997881059058067,1,0.9993438791431197,1,hidden_correct_a6_correct
LukOil has headquarters in Russia.,1,0.4125820063990995,0,0.559162433725113,1,hidden_wrong_a6_correct
Curaçao is a name of a country.,1,0.9882783399881017,1,0.9909215292577447,1,hidden_correct_a6_correct
Eli Whitney invented the electric wheelchair.,0,1.3668457007003589e-05,0,6.442096479208802e-06,0,hidden_correct_a6_correct
CVS Health operates in the industry of Banking.,0,5.6825299360275984e-06,0,5.396469812582497e-06,0,hidden_correct_a6_correct
Tiraspol is a name of a country.,0,2.8483251672259518e-05,0,3.578899339054392e-06,0,hidden_correct_a6_correct
Willem Einthoven invented the electrocardiograph (ECG).,1,0.7531202701651467,1,0.5127297998355901,1,hidden_correct_a6_correct
Wellington is a name of a country.,0,0.0005648774052363432,0,0.0003058145274884709,0,hidden_correct_a6_correct
Birds are not animals.,0,6.330032473123696e-13,0,1.6470862744224388e-12,0,hidden_correct_a6_correct
Itochu engages in oil and natural gas production..,0,0.5764268614816784,1,0.40219326079061823,0,hidden_wrong_a6_correct
Addis Ababa is a city in Ethiopia,1,0.9999999999737288,1,0.9999999999992255,1,hidden_correct_a6_correct
Lima does not experience an average snowfall.,1,1.1283428080718792e-05,0,0.00043107480618990063,0,hidden_wrong_a6_wrong
Migration allows animals to find better resources.,1,8.684446010577059e-10,0,7.906311179651315e-11,0,hidden_wrong_a6_wrong
Tungsten is in the Actinide group.,0,0.12033694884724434,0,0.11598352423187139,0,hidden_correct_a6_correct
Port-au-Prince is a city in Haiti,1,0.9976872128816145,1,0.9268847406662292,1,hidden_correct_a6_correct
Cadmium is in the Transition metal group.,1,0.019038555875801014,0,0.04339781450860157,0,hidden_wrong_a6_wrong
Mars has a thick atmosphere.,0,0.9999969392836747,1,0.9999767719602533,1,hidden_wrong_a6_wrong
Cadmium appears in its standard state as Solid.,1,0.8793763219258379,1,0.894403943917215,1,hidden_correct_a6_correct
Tencent Holdings has headquarters in United Kingdom.,0,5.111046954173268e-06,0,7.920960810660114e-06,0,hidden_correct_a6_correct
Vale operates in the industry of materials.,1,0.9999256623828323,1,0.9999697904363305,1,hidden_correct_a6_correct
Stephanie Kwolek lived in U.S.,1,0.9987008135245427,1,0.9913559058955148,1,hidden_correct_a6_correct
A large number of Eritreans live in AsmarA.,1,1.0599148619536794e-05,0,0.00028754681103358015,0,hidden_wrong_a6_wrong
Ulan Bator is a name of a city.,1,0.9993216269293587,1,0.998953107288647,1,hidden_correct_a6_correct
The Nile River is located in South America.,0,1.6777698903122846e-06,0,3.2491553997372816e-07,0,hidden_correct_a6_correct
Cai Lun invented the papermaking process.,1,0.0008656498781635027,0,0.00036670516533817815,0,hidden_wrong_a6_wrong
Hanoi is a name of a city.,1,0.9978168231660647,1,0.9996837475952275,1,hidden_correct_a6_correct
Ecosystems consist of living organisms and their physical environment.,1,0.9999999997970443,1,0.9999999998809064,1,hidden_correct_a6_correct
The hyena has the atomic number of bird.,0,1.9086330056165797e-07,0,3.6455976950675905e-07,0,hidden_correct_a6_correct
ING Group operates in the industry of diversified financials.,1,0.9999867249639766,1,0.9997561698489217,1,hidden_correct_a6_correct
The human body has bones.,1,0.999999999998417,1,0.9999999999485829,1,hidden_correct_a6_correct
Bank of China operates in the industry of banking.,1,0.978918709858838,1,0.9800460761830446,1,hidden_correct_a6_correct
Samuel Morse invented the Morse code.,1,0.999999828340968,1,0.9999999993036304,1,hidden_correct_a6_correct
The narwhal has a diet of carnivore.,1,0.0003857352591391833,0,0.0002826711984946555,0,hidden_wrong_a6_wrong
The pigeon has the atomic number of mammal.,0,0.00777349292285525,0,0.0013993478775883314,0,hidden_correct_a6_correct
Phosphorus is used in catalytic converters and hydrogen storage.,0,0.48876505122647756,0,0.598043037769888,1,hidden_correct_a6_wrong
"Microsoft engages in the development and support of software, services, devices, and solutions..",1,0.9995910337270891,1,0.9991090415168703,1,hidden_correct_a6_correct
Ferdinand Carré lived in France.,1,0.9961735957153353,1,0.9965721921242028,1,hidden_correct_a6_correct
"Human uses for cow include meat, dairy products.",1,0.9941644991921131,1,0.9911661793919422,1,hidden_correct_a6_correct
British American Tobacco operates in the industry of Banking.,0,1.3129019995363376e-05,0,8.503509994714087e-06,0,hidden_correct_a6_correct
Neptunium appears in its standard state as Gas.,0,0.00019196100906280822,0,0.00016930011260337256,0,hidden_correct_a6_correct
Monrovia is a city in Namibia,0,3.4939548076629842e-12,0,7.373504866101383e-15,0,hidden_correct_a6_correct
The study of the Earth's core beyond Earth's atmosphere is called geoastronomy.,0,0.8941985819093358,1,0.7886142209147345,1,hidden_wrong_a6_wrong
China Citic Bank operates in the industry of Banking.,0,3.0909990144872476e-05,0,2.7833154045259434e-05,0,hidden_correct_a6_correct
Chromium appears in its standard state as Solid.,1,0.005731235467796129,0,0.06659971059564938,0,hidden_wrong_a6_wrong
Edwin Link lived in U.K.,0,0.9658814549644903,1,0.9551930897668867,1,hidden_wrong_a6_wrong
Ireland is a name of a city.,0,0.0004366284987660675,0,0.0003176475319110413,0,hidden_correct_a6_correct
The vulture uses jumping for locomotion.,0,0.03531917332426434,0,0.005434372262139173,0,hidden_correct_a6_correct
Venus has a thick atmosphere.,1,0.9997849899729639,1,0.9992981057702808,1,hidden_correct_a6_correct
Enel has headquarters in Rome.,1,0.9992999105840445,1,0.9996584160132896,1,hidden_correct_a6_correct
Sir Humphry Davy invented the light bulb.,0,0.9824256643497661,1,0.990699804976045,1,hidden_wrong_a6_wrong
Oman is a name of a city.,0,3.2460744670366235e-05,0,1.4268116224218175e-05,0,hidden_correct_a6_correct
Ottawa contains many parks and green spaces.,1,0.9964308137380984,1,0.9979843675787027,1,hidden_correct_a6_correct
"Human uses for ostrich include tourism, zoos, meat, feathers.",1,0.26483667419998347,0,0.8452712778722697,1,hidden_wrong_a6_correct
Medtronic operates in the industry of health care equipment & services.,1,0.9972489191361258,1,0.9996377410494939,1,hidden_correct_a6_correct
The Coriolis effect prevents the movement of large-scale weather systems.,0,6.920292857856309e-07,0,1.5402169210448268e-05,0,hidden_correct_a6_correct
Alibaba Group operates in the industry of retailing.,1,0.9993238106566269,1,0.9997092995775004,1,hidden_correct_a6_correct
Iridium has the atomic number of 56.,0,0.9888907884715462,1,0.9807767238101704,1,hidden_wrong_a6_wrong
Valletta is a city in Malta,1,1.0,1,1.0,1,hidden_correct_a6_correct
"Human uses for bat include tourism, zoos.",0,0.0025829035938194473,0,0.001331998434331011,0,hidden_correct_a6_correct
Syria is a name of a country.,1,0.9999944022490418,1,0.9999980432221138,1,hidden_correct_a6_correct
The Pacific Ocean is the smallest ocean in the world.,0,0.08258578232710664,0,0.19080561502726961,0,hidden_correct_a6_correct
Palladium is in the Transition metal group.,1,0.7025515981914736,1,0.8731215012089542,1,hidden_correct_a6_correct
Lutetium is in the Lanthanide group.,1,0.8328309737603191,1,0.8745846713065807,1,hidden_correct_a6_correct
László Bíró lived in Hungary.,1,0.9437484393121928,1,0.9942128115557857,1,hidden_correct_a6_correct
Trinidad and Tobago is a name of a country.,1,0.9999822019330793,1,0.9999787588143956,1,hidden_correct_a6_correct
Iron has the atomic number of 12.,0,0.9991434584041777,1,0.9995652081710895,1,hidden_wrong_a6_wrong
